,ASIN,Impressions,Clicks,Spend,7 Day Total Sales,7 Day Total Orders (#),7 Day Total Units (#),7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales,7 Day Other SKU Sales,CTR (%),CPC,Conversion Rate (%),ACOS (%),ROAS,Material,Brand,Niche,SKU,Hero ASIN,Task Owner,FNSKU,Stock FC,Available,Total Stock,SourceID,Type,Trend,Layout ( Text and Image),Number of Colors,Trend Quote,Recipient/Sender in the Message,Color,Message Content,Style Design,Tone Design,Motif Design,Idea Note,Product Type,Image_URL
0,B0DMJQ1J1L,125391,2639,1027.12,1085.83,116,117,75,42,714.25,371.58,2.104616759,0.389208033,4.395604396,94.59307626,1.057159826,Rectangle Folded Card,PAWZITY,Couple,H20_GreCard_1437,,Mai Thu Tram,X004GMEY4R,858,850,858,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTZkFCUzpjOTdkMmVkOGRlYjA2NDk0YzRkNmE3NDZmMmZlNGI4NTox,,Valentine,Text + Art (Top),More than 3 colors,0,0,Bright,Sentimental  ,Watercolor,Elegant,People,,Rectangle Folded Card,https://m.media-amazon.com/images/I/71Q87AyI9xL._AC_SX466_.jpg
1,B0DMJW85TN,44557,270,118.62,178.81,19,19,16,3,148.84,29.97,0.605965393,0.439333333,7.037037037,66.33857167,1.507418648,Rectangle Folded Card,PAWZITY,Couple,H20_GreCard_1435,,Mai Thu Tram,X004GM6R01,1003,1002,1003,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTa2l1TzplYjQ4NzY0MTcwZTdmYzVmMzU0ZjFkNmUwMmIzNTg5Zjox,,Valentine,Text + Art (Center),1-3 colors,0,0,Bright,Sentimental  ,Watercolor,Cute,Animal ,,Rectangle Folded Card,https://m.media-amazon.com/images/I/71ykeQhI0xL._AC_SX466_.jpg
2,B0DMJY7F46,13920,62,27.85,75.92,8,8,8,0,75.92,0,0.445402299,0.449193548,12.90322581,36.6833509,2.726032316,Rectangle Folded Card,PAWZITY,Couple,H20_GreCard_1432,,Mai Thu Tram,X004GMDNT9,394,386,394,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTU0F6Qzo2MWQyYjgyODI3MWYzNjEwMjI5OTZlNDA2MjYyYjg3YTox,,Valentine,Text + Art (Bottom),1-3 colors,0,0,Bright,Funny  ,Cartoon,Cute,Object-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/71Wm69Ihk8L._AC_SX425_.jpg
3,B0DMK5C7VJ,55981,1066,441.27,793.15,85,85,65,20,614.35,178.8,1.904217502,0.413949343,7.973733583,55.63512576,1.797425612,Rectangle Folded Card,PAWZITY,Couple,H20_GreCard_1446,,Mai Thu Tram,X004GO2A0F,855,848,855,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTaTFQUzo2YjFjZTM4MDRlNjJjNDIzN2RjMjMxMGU5ODYwOTI0NDox,,Valentine,Text + Art (Center),More than 3 colors,0,0,Bright,Funny  ,Watercolor,Cute,Animal ,,Rectangle Folded Card,https://m.media-amazon.com/images/I/71JK+qmL+YL._AC_SY450_.jpg
4,B0DMK5GZP4,69509,1330,546.07,919.01,101,101,78,23,734.22,184.79,1.913421284,0.410578947,7.593984962,59.4193752,1.682952735,Rectangle Folded Card,PAWZITY,Him ,H20_GreCard_1443,,Mai Thu Tram,X004GNSAFZ,636,629,636,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTM1hBaTo3NDUzZjcyOWJhZjFkMWVmMTM4OWQzYTJjMDFlMDNlYTox,,Valentine,Text + Cliparts,More than 3 colors,0,0,Bright,Funny  ,Cartoon,Cute,People,,Rectangle Folded Card,https://m.media-amazon.com/images/I/710ifFZrmdL._AC_SY355_.jpg
5,B0DMK78YJY,15611,86,40.24,140.84,16,16,9,7,85.91,54.93,0.550893601,0.467906977,18.60465116,28.57142857,3.5,Rectangle Folded Card,PAWZITY,Couple,H20_GreCard_1439,,Mai Thu Tram,X004GNO94L,749,746,749,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTaE95Nzo3ZjJiYWY1N2M1ODEwMWJmYzEwZTkxZWNhYWY1MDRhMDox,,Valentine,Text + Art (Center),More than 3 colors,0,0,Bright,Sentimental  ,Cartoon,Cute,Object-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/71aV4RskAKL._AC_SY450_.jpg
6,B0DMK8FVTB,155798,2523,1004.4,2605.82,319,319,292,27,2354.09,251.73,1.619404614,0.398097503,12.64367816,38.54448887,2.59440462,Rectangle Folded Card,PAWZITY,Couple,H20_GreCard_1442,,Mai Thu Tram,X004GO78WZ,518,456,518,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTT1pDMDoyNTgzZjZiMjcyZjhmYzQwOTY2MDIxMjczNGQ2ZWJiZTox,,Valentine,Text + Art (Bottom),1-3 colors,0,0,Bright,Sentimental  ,Simple,Cute,Animal ,,Rectangle Folded Card,https://m.media-amazon.com/images/I/81lmhsUQRGL._AC_SX466_.jpg
7,B0DMK8NH7W,439,4,1.87,9.99,1,1,0,1,0,9.99,0.911161731,0.4675,25,18.71871872,5.342245989,Rectangle Folded Card,PAWZITY,Couple,H20_GreCard_1447,,Mai Thu Tram,X004GO0TZD,1179,1105,1179,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTTGtEVzpkOTRkOGU3MGQwYWFlOTczMmQwODQ3Y2MxOTFjNDcwMTox,,Valentine,Text + Art (Center),More than 3 colors,0,0,Bright,Funny  ,Cartoon,Cute,Animal ,,Rectangle Folded Card,https://m.media-amazon.com/images/I/71mQVUiW2-L._AC_SX466_.jpg
8,B0DMK8SC83,360343,4481,1771.22,3528.96,374,374,321,53,3065.79,463.17,1.243537407,0.395273376,8.346351261,50.19099111,1.992389426,Rectangle Folded Card,PAWZITY,Him ,H20_GreCard_1460,,Mai Thu Tram,X004GO0KA7,419,392,419,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTT2ppYjo2YzhiMzI0MDkyNDg5ZmYyODY1YTA5MTYyZmMzNTAwYjox,,Valentine,Text + Art (Bottom),More than 3 colors,0,0,Bright,Inappropriate Humor ,Cartoon,Cute,Object-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/716BK6vLz1L._AC_SY355_.jpg
9,B0DMRJZTXZ,16147,570,292.45,306.51,49,49,43,6,268.57,37.94,3.530067505,0.513070175,8.596491228,95.41287397,1.048076594,Rectangle Folded Card,PAWZITY,Couple,H20_GreCard_1487,,Nguyen Huu Dat,X004GPFDWV,1359,1359,1359,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTUjJrUToxZmYwYzVkZWYwZGRiOTY2M2ZiNjkxZjYwNjkzNzAwYTox,,Valentine,Only Text ,1-3 colors,0,0,Dark,Sentimental  ,Vintage,Elegant,Text-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/91BpLCBdBlL._AC_SX569_.jpg
10,B0DMSB1JGQ,9013,92,60.62,66.9,9,10,10,0,66.9,0,1.020747809,0.658913043,9.782608696,90.61285501,1.103596173,Rectangle Folded Card,PAWZITY,Couple,H20_GreCard_1484,,Nguyen Huu Dat,X004GPLCXF,1318,1318,1318,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTdk5qTDpiMWE3MWU3NGRjNjlhYjI0YTE0ZTJiYjBkMzU5NTk1OTox,,Valentine,Only Text ,1-3 colors,0,0,Dark,Sentimental  ,Vintage,Elegant,Text-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/91kDZBUiBeL._AC_SY355_.jpg
11,B0DMSC1W5T,9775,132,58.44,101.4,11,11,8,3,75.92,25.48,1.350383632,0.442727273,8.333333333,57.63313609,1.735112936,Rectangle Folded Card,PAWZITY,Him ,H20_GreCard_1481,,Mai Thu Tram,X004GPLEC9,705,704,705,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTeDFkcjo0ZDQ3YzlhYjRkNzcxOTgwYTBkZDYxNGQzOWY2ZTYyMDox,,Valentine,Text + Art (Center),More than 3 colors,0,0,Bright,Inappropriate Humor ,Cartoon,Cute,Object-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/717V6hM+0TL._AC_SX466_.jpg
12,B0DMSCQQM8,4599,31,13.42,18.99,1,1,0,1,0,18.99,0.674059578,0.432903226,3.225806452,70.66877304,1.415052161,Rectangle Folded Card,PAWZITY,Couple,H20_GreCard_1486,,Nguyen Huu Dat,X004GPJ2OB,212,212,212,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTRlpEcDozN2M0MjY0MDE3ZGMwZjM5ZmM0ZDJmZjMyYmQwNmJhNjox,,Valentine,Only Text ,1-3 colors,1,0,Dark,Sentimental  ,Vintage,Elegant,Text-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/91CDTb5egLL._AC_SY450_.jpg
13,B0DMSJCF7V,92300,1756,1121.28,1649.9,247,247,224,23,1505.12,144.78,1.902491874,0.638542141,14.06605923,67.96048245,1.47144335,Rectangle Folded Card,PAWZITY,Couple,H20_GreCard_1485,,Nguyen Huu Dat,X004GPPWNL,273,258,273,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dFU0dDBTVzQ5bjo1MDJkMzYyNDlhOTY0ODg1MmNiNDY0YTc4MjBhZmJhMjox,,Valentine,Text + Art (Center),1-3 colors,0,0,Dark,Funny  ,Vintage,Elegant,Object-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/81hXaAEVbFL._AC_SX679_.jpg
14,B0DNHXTB24,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Square Folded Card,PAWZITY,Couple,H20_GreCard_1455,,Mai Thu Tram,X004GZ9K6V,41,26,41,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1dXlZMDdDRzdFaDoxMDZjMDQ0ZGU2YTE2YWE4MTUyZWY0NTU1ZmQyNDg3Zjox,,Valentine,Text + Cliparts,More than 3 colors,1,0,Bright,Funny  ,Cartoon,Cute,Object-based,,Square Folded Card,https://m.media-amazon.com/images/I/71PA8tdqn4L._AC_SX522_.jpg
